id,kind,file,line
app.dependencies.llm.get_llm_client_for_operation,function,app/dependencies/llm.py,60
app.dependencies.llm.get_llm_client_for_operation_with_selection,function,app/dependencies/llm.py,142
app.dependencies.llm.resolve_model_for_operation,function,app/dependencies/llm.py,92
app.dependencies.llm_context,module,app/dependencies/llm_context.py,0
app.dependencies.llm_context.LLMContextData,class,app/dependencies/llm_context.py,17
app.dependencies.llm_context.__init__,function,app/dependencies/llm_context.py,20
app.dependencies.llm_context.extract_llm_context,function,app/dependencies/llm_context.py,39
app.errors,module,app/errors/__init__.py,0
app.errors.base,module,app/errors/base.py,0
app.errors.base.AnaServiceError,class,app/errors/base.py,8
app.errors.base.__init__,function,app/errors/base.py,19
app.errors.base.to_dict,function,app/errors/base.py,31
app.errors.infrastructure,module,app/errors/infrastructure.py,0
app.errors.infrastructure.CacheError,class,app/errors/infrastructure.py,82
app.errors.infrastructure.CircuitBreakerError,class,app/errors/infrastructure.py,88
app.errors.infrastructure.DatabaseConnectionError,class,app/errors/infrastructure.py,27
app.errors.infrastructure.DatabaseError,class,app/errors/infrastructure.py,21
app.errors.infrastructure.InfrastructureError,class,app/errors/infrastructure.py,10
app.errors.infrastructure.RateLimitExceededError,class,app/errors/infrastructure.py,109
app.errors.infrastructure.StorageConnectionError,class,app/errors/infrastructure.py,44
app.errors.infrastructure.StorageError,class,app/errors/infrastructure.py,38
app.errors.infrastructure.StorageUploadError,class,app/errors/infrastructure.py,50
app.errors.infrastructure.__init__,function,app/errors/infrastructure.py,118
app.errors.llm,module,app/errors/llm.py,0
app.errors.llm.AnthropicAPIError,class,app/errors/llm.py,216
app.errors.llm.AnthropicRateLimitError,class,app/errors/llm.py,223
app.errors.llm.AuthenticationError,class,app/errors/llm.py,66
app.errors.llm.ClaudeAPIError,class,app/errors/llm.py,158
app.errors.llm.ClaudeRateLimitError,class,app/errors/llm.py,165
app.errors.llm.ClaudeValidationError,class,app/errors/llm.py,172
app.errors.llm.ContextLengthError,class,app/errors/llm.py,75
app.errors.llm.GeminiAPIError,class,app/errors/llm.py,179
app.errors.llm.GeminiImageGenerationError,class,app/errors/llm.py,200
app.errors.llm.GeminiRateLimitError,class,app/errors/llm.py,186
app.errors.llm.GeminiValidationError,class,app/errors/llm.py,193
app.errors.llm.LLMError,class,app/errors/llm.py,10
app.errors.llm.OpenAIAPIError,class,app/errors/llm.py,209
app.errors.llm.ProviderError,class,app/errors/llm.py,16
app.errors.llm.ProviderUnavailableError,class,app/errors/llm.py,84
app.errors.llm.RateLimitError,class,app/errors/llm.py,41
app.errors.llm.TruncatedResponseError,class,app/errors/llm.py,126
app.errors.llm.ValidationError,class,app/errors/llm.py,57
app.errors.llm.__init__,function,app/errors/llm.py,226
app.errors.service,module,app/errors/service.py,0
app.errors.service.ClaudeMdError,class,app/errors/service.py,274
app.errors.service.ContextError,class,app/errors/service.py,184
app.errors.service.ContextNotFoundError,class,app/errors/service.py,190
app.errors.service.ContextSummarizationError,class,app/errors/service.py,206
app.errors.service.GenerationError,class,app/errors/service.py,21
app.errors.service.LessonGenerationError,class,app/errors/service.py,83
app.errors.service.LimitExceededError,class,app/errors/service.py,135
app.errors.service.ModuleGenerationError,class,app/errors/service.py,33
app.errors.service.ModuleRegenerationError,class,app/errors/service.py,59
app.errors.service.OutlineGenerationError,class,app/errors/service.py,27
app.errors.service.RegenerationLimitError,class,app/errors/service.py,159
app.errors.service.ServiceError,class,app/errors/service.py,10
app.errors.service.ServiceValidationError,class,app/errors/service.py,109
app.errors.service.SessionCleanupError,class,app/errors/service.py,246
app.errors.service.SessionError,class,app/errors/service.py,240
app.errors.service.SparkCourseError,class,app/errors/service.py,257
app.errors.service.SparkCourseGeneratorError,class,app/errors/service.py,263
app.errors.service.TemplateError,class,app/errors/service.py,280
app.errors.service.VideoPromptError,class,app/errors/service.py,217
app.errors.service.VideoPromptTemplateError,class,app/errors/service.py,229
app.errors.service.VideoPromptValidationError,class,app/errors/service.py,223
app.errors.service.__init__,function,app/errors/service.py,195
app.jobs,module,app/jobs/__init__.py,0
app.jobs.context_summarizer,module,app/jobs/context_summarizer.py,0
app.jobs.context_summarizer.ContextSummarizationError,class,app/jobs/context_summarizer.py,37
app.jobs.context_summarizer._combine_summaries,function,app/jobs/context_summarizer.py,386
app.jobs.context_summarizer._expire_context,function,app/jobs/context_summarizer.py,594
app.jobs.context_summarizer._find_contexts_needing_summarization,function,app/jobs/context_summarizer.py,150
app.jobs.context_summarizer._find_inactive_contexts,function,app/jobs/context_summarizer.py,556
app.jobs.context_summarizer._format_interactions_for_summary,function,app/jobs/context_summarizer.py,305
app.jobs.context_summarizer._generate_summary,function,app/jobs/context_summarizer.py,340
app.jobs.context_summarizer._process_context_summarization,function,app/jobs/context_summarizer.py,189
app.jobs.context_summarizer.expire_inactive_contexts,function,app/jobs/context_summarizer.py,454
app.jobs.context_summarizer.get_expiration_stats,function,app/jobs/context_summarizer.py,702
app.jobs.context_summarizer.get_summarization_stats,function,app/jobs/context_summarizer.py,413
app.jobs.context_summarizer.summarize_old_interactions,function,app/jobs/context_summarizer.py,42
app.jobs.generate_course_job,module,app/jobs/generate_course_job.py,0
app.jobs.generate_course_job.GenerateCourseJob,class,app/jobs/generate_course_job.py,41
app.jobs.generate_course_job.__init__,function,app/jobs/generate_course_job.py,50
app.jobs.generate_course_job._emit_progress,function,app/jobs/generate_course_job.py,105
app.jobs.generate_course_job._extract_structured_data,function,app/jobs/generate_course_job.py,292
app.jobs.generate_course_job._generate_all_modules,function,app/jobs/generate_course_job.py,736
app.jobs.generate_course_job._generate_bible,function,app/jobs/generate_course_job.py,335
app.jobs.generate_course_job._generate_module_with_retry,function,app/jobs/generate_course_job.py,442
app.jobs.generate_course_job._get_progress_channel,function,app/jobs/generate_course_job.py,101
app.jobs.generate_course_job._save_generation_state,function,app/jobs/generate_course_job.py,182
app.jobs.generate_course_job._save_lesson_to_database,function,app/jobs/generate_course_job.py,402
app.jobs.generate_course_job._save_module_to_database,function,app/jobs/generate_course_job.py,232
app.jobs.generate_course_job._save_progress_state,function,app/jobs/generate_course_job.py,201
app.jobs.generate_course_job._update_skill_registry,function,app/jobs/generate_course_job.py,373
app.jobs.generate_course_job.execute,function,app/jobs/generate_course_job.py,659
app.jobs.generate_course_job.on_lesson_complete,function,app/jobs/generate_course_job.py,513
app.jobs.llm_aggregation,module,app/jobs/llm_aggregation.py,0
app.jobs.llm_aggregation.aggregate_daily_metrics,function,app/jobs/llm_aggregation.py,17
app.jobs.llm_purge,module,app/jobs/llm_purge.py,0
app.jobs.llm_purge.purge_old_interaction_content,function,app/jobs/llm_purge.py,17
app.jobs.regenerate_module_job,module,app/jobs/regenerate_module_job.py,0
app.jobs.regenerate_module_job.RegenerateModuleJob,class,app/jobs/regenerate_module_job.py,40
app.jobs.regenerate_module_job.__init__,function,app/jobs/regenerate_module_job.py,46
app.jobs.regenerate_module_job._clear_module_lessons,function,app/jobs/regenerate_module_job.py,172
app.jobs.regenerate_module_job._emit_progress,function,app/jobs/regenerate_module_job.py,108
app.jobs.regenerate_module_job._get_progress_channel,function,app/jobs/regenerate_module_job.py,100
app.jobs.regenerate_module_job._get_state_key,function,app/jobs/regenerate_module_job.py,104
app.jobs.regenerate_module_job._save_lesson,function,app/jobs/regenerate_module_job.py,187
app.jobs.regenerate_module_job.execute,function,app/jobs/regenerate_module_job.py,226
app.jobs.regenerate_module_job.on_lesson_complete,function,app/jobs/regenerate_module_job.py,274
app.llm,module,app/llm/__init__.py,0
app.llm.adapter,module,app/llm/adapter.py,0
app.llm.adapter.GatewayClient,class,app/llm/adapter.py,44
app.llm.adapter.__init__,function,app/llm/adapter.py,60
app.llm.adapter.chat,function,app/llm/adapter.py,119
app.llm.adapter.chat_stream,function,app/llm/adapter.py,186
app.llm.adapter.chat_stream_with_tools,function,app/llm/adapter.py,227
app.llm.adapter.chat_with_cacheable_context,function,app/llm/adapter.py,280
app.llm.adapter.create_gateway_client,function,app/llm/adapter.py,312
app.llm.adapter.resolve_provider,function,app/llm/adapter.py,105
app.llm.capabilities,module,app/llm/capabilities/__init__.py,0
app.llm.config,module,app/llm/config/__init__.py,0
app.llm.config.models,module,app/llm/config/models.py,0
app.llm.config.models.ModelInfo,class,app/llm/config/models.py,15
app.llm.config.models.calculate_cost,function,app/llm/config/models.py,669
app.llm.config.models.get_model,function,app/llm/config/models.py,662
app.llm.config.rules,module,app/llm/config/rules.py,0
app.llm.config.rules.ConfiguredParams,class,app/llm/config/rules.py,800
app.llm.config.rules.CostTier,class,app/llm/config/rules.py,15
app.llm.config.rules.ResolvedRoute,class,app/llm/config/rules.py,767
app.llm.config.rules.RoutingRule,class,app/llm/config/rules.py,23
app.llm.config.rules._infer_provider_for_configured_model,function,app/llm/config/rules.py,849
app.llm.config.rules.get_configured_params,function,app/llm/config/rules.py,807
app.llm.config.rules.get_configured_routing_rule,function,app/llm/config/rules.py,868
app.llm.config.rules.get_default_rule,function,app/llm/config/rules.py,783
